epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.018292870372533798,0.009709212929010391,0.05425793256499125,0.7922454937622003,0.27087885026573083,0.873776173267753
2,0.009616291150450706,0.0030041569843888283,0.1482367743993839,0.9471781718455602,0.5437038796557426,0.9080411528057017
3,0.007328207604587078,0.0023433538153767586,0.2297014249098778,0.9659517178205254,0.5334897313738467,0.9068110891485279
4,0.003646142315119505,0.0015078092692419887,0.32673015346487116,0.9715358377026787,0.5874798476902493,0.9085425303683141
5,0.002752868924289942,0.0005392347229644656,0.4058013769770692,0.9733758975357715,0.7145143082658926,0.907483420611495
6,0.003111511468887329,0.0009275400661863387,0.47722002141363884,0.9739949840721246,0.6760612193155633,0.9086660663281978
7,0.002999476855620742,0.001040510251186788,0.5556150470975626,0.9747841665241858,0.6947288461608977,0.9083323798364792
8,0.0016826363280415535,0.003863369580358267,0.5850072198313024,0.9722000601681428,0.6034434579055776,0.9085152444556716
9,0.0010284233139827847,0.0006784374127164483,0.6373128140491076,0.9748512943348636,0.7263707623520526,0.9083890635121376
10,0.0014554423978552222,0.0015541660832241178,0.6840783232398232,0.9747842205597825,0.7124147914236193,0.9086089631205728
11,0.0012161876074969769,0.0015278620412573218,0.7188876950721966,0.9747461717890796,0.7235941700043051,0.9084974427189535
12,0.001535720657557249,0.0012313268380239606,0.7366140616890714,0.9747771608435362,0.7290623228606791,0.9084216574161708
13,0.0018470074282959104,0.0007187264272943139,0.7490734878391857,0.9749766892791983,0.7281503074057812,0.9078612593736547
14,0.0014299298636615276,0.0008057826780714095,0.7661055810314799,0.974838552532344,0.7468813191095571,0.907799210918466
15,0.0007270575733855367,0.002335619879886508,0.7626317579279271,0.9746392278997522,0.7488803460067577,0.9080473627183754
16,0.0011230733944103122,0.0006835698732174933,0.7852463728568977,0.9747444654678921,0.7141790366262892,0.9079639499406054
17,0.0009901399025693536,0.0014179653953760862,0.8054152790071785,0.9749468258952166,0.7653456130157023,0.9078645691740878
18,0.0011937604285776615,0.0011147832265123725,0.7928710576904386,0.9748995907532183,0.7312381164356097,0.9078349791145105
19,0.000711380853317678,0.0007992737228050828,0.8050456479445658,0.9747165686139008,0.7666225324075154,0.9074780672336555
20,0.0014506593579426408,0.0007122891256585717,0.8117449085657279,0.9750505093327069,0.7454374135781642,0.9071167082905742
21,0.0011063632555305958,0.0006454624817706645,0.8189486408905658,0.974979679600068,0.7451156445200726,0.9076564124207703
22,0.0005853508482687175,0.0014932568883523345,0.8075049164742846,0.9749860062652771,0.7093149615754609,0.9075594662073726
23,0.0014669279335066676,0.0005627127247862518,0.8197702608098791,0.9749998158964946,0.7716974889923339,0.9074328221439216
24,0.0007886357489041984,0.0006745666032657027,0.823010829955281,0.9748696148211998,0.7713543348269671,0.9059194236330335
25,0.0004926439723931253,0.0011322229402139783,0.8207601008161802,0.9750369040673695,0.7628504763905508,0.9075895218244234
