epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.03841803967952728,0.029519470408558846,0.04476389991003285,0.5659140797158944,0.004663042000235152,0.4074154455599021
2,0.03143658861517906,0.013530001975595951,0.07625969755390177,0.6717435532393056,0.09868270823272995,0.6574445268792193
3,0.02268632873892784,0.036244671791791916,0.12129382195519599,0.7857780712969478,0.12214276826129203,0.7536867160946442
4,0.017451858147978783,0.007618531119078398,0.15381748948346677,0.8382145898205442,0.14952865367144796,0.7734196219079159
5,0.013156892731785774,0.009407835081219673,0.18989143055756247,0.873051878328747,0.22806392066998632,0.7907065272254491
6,0.013666140846908092,0.011939563788473606,0.223607416769575,0.8856049927725564,0.25227005403556585,0.8035138269289772
7,0.010711190290749073,0.007271768990904093,0.25419218172712854,0.9029960036191684,0.20909324522301784,0.8134615164475115
8,0.014356494881212711,0.007615355309098959,0.29650881540981766,0.9146538409801157,0.28758620324987405,0.8105164962963054
9,0.012990759685635567,0.013870063237845898,0.31729542442623165,0.918019398279774,0.26717130037770165,0.8193599836863354
10,0.011468887329101562,0.00795527920126915,0.31252057257774885,0.9218905536463755,0.3193974756562822,0.8125559490321604
11,0.016924388706684113,0.008777977898716927,0.3630365570242383,0.9279698779942652,0.28554461183726954,0.8288054570636593
12,0.007414625957608223,0.008610260672867298,0.34915238411491556,0.92928320045481,0.2981152498431182,0.8201873601260051
13,0.009418593719601631,0.007105959579348564,0.3825897367273879,0.9304556696501727,0.3151990668290872,0.8303104284895412
14,0.009627326391637325,0.009870334528386593,0.3767972954119639,0.9344008641270056,0.3057921686839702,0.8322445032626773
15,0.01221901923418045,0.006745586171746254,0.3942812782914186,0.9376324110981296,0.32215676291179557,0.8246868325718603
16,0.008962760679423809,0.007757747545838356,0.39877682661298425,0.9382738102681799,0.24162590366409994,0.8224564774712825
17,0.01272666361182928,0.015382075682282448,0.4139839365585229,0.9376323448997824,0.2860429528550111,0.8264796991200474
18,0.010279045440256596,0.00806173961609602,0.4148816899286022,0.9394115237415969,0.32167722903953566,0.8289621933719216
19,0.011470001190900803,0.012349608354270458,0.4154479569276768,0.9398926245085711,0.3123315589072534,0.8279729788318885
20,0.010694633238017559,0.007882129400968552,0.41233560411909104,0.9423225627562755,0.3554306649779773,0.8272410871097469
21,0.011035094037652016,0.009968191385269165,0.42002184489891164,0.9423131516987421,0.30345578372757365,0.8328071911022988
22,0.010770169086754322,0.006930686999112368,0.42318754566762223,0.9430230205267327,0.3136655141847244,0.8334600628573074
23,0.00688563659787178,0.007163917645812035,0.41977623583312995,0.943579744760978,0.3646127069582422,0.8367398696179086
24,0.007818751037120819,0.005554733797907829,0.42886928461354623,0.9408650138364817,0.33725340012581606,0.8352811068489536
25,0.010227798484265804,0.01101007778197527,0.42786218899036266,0.9446685494209209,0.34762877503137696,0.8262936565260401
